setup_date,Date,growth_phase_days,termination_date,soil,treatment,replicate,pot_label,seed_survival_rate,soil_sample_label,plant_location_clockwise_from_label,setup_weight_g,weight_field_capacity_g,target_weight_g,shoot_length_cm,num_spikelets,root_length_cm,shoot_root_biomass_g,dead,pH,EC
9/19/24,11/21/24,63,11/21/24,Manteca,Control,1,1●,0.25,Man_end_1.1,1,319,403,346,2.1,0,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,1,1●,0.25,Man_end_1.1,2,319,403,346,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,1,1●,0.25,Man_end_1.1,3,319,403,346,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,1,1●,0.25,Man_end_1.1,4,319,403,346,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,2,2●,0.25,Man_end_1.2,1,318,403,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,2,2●,0.25,Man_end_1.2,2,318,403,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,2,2●,0.25,Man_end_1.2,3,318,403,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,2,2●,0.25,Man_end_1.2,4,318,403,345,1.9,0,0.3,0.0034,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,3,3●,0,Man_end_1.3,1,318,403,342.6,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,3,3●,0,Man_end_1.3,2,318,403,342.6,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,3,3●,0,Man_end_1.3,3,318,403,342.6,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,3,3●,0,Man_end_1.3,4,318,403,342.6,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,4,4●,0.75,Man_end_1.4,1,317,402,339.8,0.6,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,4,4●,0.75,Man_end_1.4,2,317,402,339.8,0.6,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,4,4●,0.75,Man_end_1.4,3,317,402,339.8,3.6,0,1.1,0.0069,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,4,4●,0.75,Man_end_1.4,4,317,402,339.8,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,5,5●,0,Man_end_1.5,1,334,421,359.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,5,5●,0,Man_end_1.5,2,334,421,359.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,5,5●,0,Man_end_1.5,3,334,421,359.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,5,5●,0,Man_end_1.5,4,334,421,359.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,6,6●,0.25,Man_end_1.6,1,319,404,345.4,4.4,0,2.1,0.0118,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,6,6●,0.25,Man_end_1.6,2,319,404,345.4,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,6,6●,0.25,Man_end_1.6,3,319,404,345.4,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,6,6●,0.25,Man_end_1.6,4,319,404,345.4,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,7,7●,0,Man_end_1.7,1,318,405,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,7,7●,0,Man_end_1.7,2,318,405,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,7,7●,0,Man_end_1.7,3,318,405,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Control,7,7●,0,Man_end_1.7,4,318,405,345,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,1,1◾,0.25,Man_end_2.1,1,318,399,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,1,1◾,0.25,Man_end_2.1,2,318,399,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,1,1◾,0.25,Man_end_2.1,3,318,399,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,1,1◾,0.25,Man_end_2.1,4,318,399,343.2,2.7,0,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,2,2◾,0,Man_end_2.2,1,318,401,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,2,2◾,0,Man_end_2.2,2,318,401,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,2,2◾,0,Man_end_2.2,3,318,401,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,2,2◾,0,Man_end_2.2,4,318,401,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,3,3◾,0.25,Man_end_2.3,1,318,400,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,3,3◾,0.25,Man_end_2.3,2,318,400,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,3,3◾,0.25,Man_end_2.3,3,318,400,340.2,2.9,0,0.5,0.003,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,3,3◾,0.25,Man_end_2.3,4,318,400,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,4,4◾,0.25,Man_end_2.4,1,318,402,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,4,4◾,0.25,Man_end_2.4,2,318,402,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,4,4◾,0.25,Man_end_2.4,3,318,402,340.2,1.5,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,4,4◾,0.25,Man_end_2.4,4,318,402,340.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,5,5◾,0.75,Man_end_2.5,1,318,403,342,1.9,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,5,5◾,0.75,Man_end_2.5,2,318,403,342,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,5,5◾,0.75,Man_end_2.5,3,318,403,342,0.6,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,5,5◾,0.75,Man_end_2.5,4,318,403,342,1.8,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,6,6◾,0.5,Man_end_2.6,1,318,403,342,1.5,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,6,6◾,0.5,Man_end_2.6,2,318,403,342,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,6,6◾,0.5,Man_end_2.6,3,318,403,342,0.3,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,6,6◾,0.5,Man_end_2.6,4,318,403,342,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,7,7◾,0.75,Man_end_2.7,1,318,400,342.6,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,7,7◾,0.75,Man_end_2.7,2,318,400,342.6,0.7,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,7,7◾,0.75,Man_end_2.7,3,318,400,342.6,0.7,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Compost,7,7◾,0.75,Man_end_2.7,4,318,400,342.6,2.5,0,0.3,0.0011,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,1,1▲,1,Man_end_3.1,1,318,399,343.8,13.6,0,18,0.0475,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,1,1▲,1,Man_end_3.1,2,318,399,343.8,12.9,0,9.9,0.0268,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,1,1▲,1,Man_end_3.1,3,318,399,343.8,0.1,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,1,1▲,1,Man_end_3.1,4,318,399,343.8,11.1,0,8.2,0.0266,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,2,2▲,0.5,Man_end_3.2,1,318,402,343.8,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,2,2▲,0.5,Man_end_3.2,2,318,402,343.8,12.7,0,10.7,0.0391,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,2,2▲,0.5,Man_end_3.2,3,318,402,343.8,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,2,2▲,0.5,Man_end_3.2,4,318,402,343.8,6.9,0,4.5,0.0127,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,3,3▲,0.5,Man_end_3.3,1,318,397,342,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,3,3▲,0.5,Man_end_3.3,2,318,397,342,0.6,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,3,3▲,0.5,Man_end_3.3,3,318,397,342,10,0,30,0.0254,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,3,3▲,0.5,Man_end_3.3,4,318,397,342,N/A,,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,4,4▲,0.5,Man_end_3.4,1,318,398,341.4,6,0,6.4,0.0064,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,4,4▲,0.5,Man_end_3.4,2,318,398,341.4,8.3,0,5.3,0.0208,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,4,4▲,0.5,Man_end_3.4,3,318,398,341.4,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,4,4▲,0.5,Man_end_3.4,4,318,398,341.4,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,5,5▲,0.5,Man_end_3.5,1,318,393,339,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,5,5▲,0.5,Man_end_3.5,2,318,393,339,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,5,5▲,0.5,Man_end_3.5,3,318,393,339,7.8,0,14.6,0.0224,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,5,5▲,0.5,Man_end_3.5,4,318,393,339,8.6,0,19.3,0.0297,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,6,6▲,0.5,Man_end_3.6,1,318,398,343.2,13.5,0,14.1,0.0334,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,6,6▲,0.5,Man_end_3.6,2,318,398,343.2,N/A,,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,6,6▲,0.5,Man_end_3.6,3,318,398,343.2,1.2,0,,,TRUE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,6,6▲,0.5,Man_end_3.6,4,318,398,343.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,7,7▲,0.75,Man_end_3.7,1,319,396,344.2,9.7,0,15.7,0.0284,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,7,7▲,0.75,Man_end_3.7,2,319,396,344.2,6.7,0,13.3,0.0154,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,7,7▲,0.75,Man_end_3.7,3,319,396,344.2,N/A,N/A,,,FALSE,,
9/19/24,11/21/24,63,11/21/24,Manteca,Biochar-Compost,7,7▲,0.75,Man_end_3.7,4,319,396,344.2,12.4,0,11.1,0.0312,FALSE,,