Sample,Time,Soil,Treatment,pH,EC (uS/cm)
Man_T0_1.1,T0,Manteca,Control,6.83,616
Man_T0_1.2,T0,Manteca,Control,7.02,662
Man_T0_1.3,T0,Manteca,Control,7.11,528
Man_T0_2.1,T0,Manteca,Compost,7.25,778
Man_T0_2.2,T0,Manteca,Compost,7.35,523
Man_T0_2.3,T0,Manteca,Compost,7.24,620
Man_T0_3.1,T0,Manteca,Biochar-Compost,7.46,974
Man_T0_3.2,T0,Manteca,Biochar-Compost,7.59,808
Man_T0_3.3,T0,Manteca,Biochar-Compost,7.34,4.27
Man_end_1.1,end,Manteca,Control,8.15,115.2
Man_end_1.2,end,Manteca,Control,8.18,111.2
Man_end_1.3,end,Manteca,Control,8.17,146.6
Man_end_1.4,end,Manteca,Control,8.3,102
Man_end_1.5,end,Manteca,Control,8.14,111.5
Man_end_1.6,end,Manteca,Control,8.1,175.7
Man_end_1.7,end,Manteca,Control,7.92,152.6
Man_end_2.1,end,Manteca,Compost,7.98,222
Man_end_2.2,end,Manteca,Compost,8.2,126.8
Man_end_2.3,end,Manteca,Compost,8.01,153.5
Man_end_2.4,end,Manteca,Compost,8,216
Man_end_2.5,end,Manteca,Compost,7.84,379
Man_end_2.6,end,Manteca,Compost,8.11,136.5
Man_end_2.7,end,Manteca,Compost,8.13,168.7
Man_end_3.1,end,Manteca,Biochar-Compost,8.45,229
Man_end_3.2,end,Manteca,Biochar-Compost,8.42,214
Man_end_3.3,end,Manteca,Biochar-Compost,8.22,586
Man_end_3.4,end,Manteca,Biochar-Compost,7.99,527
Man_end_3.5,end,Manteca,Biochar-Compost,8.44,158.5
Man_end_3.6,end,Manteca,Biochar-Compost,8.29,376
Man_end_3.7,end,Manteca,Biochar-Compost,8.19,262